,Date,Name,Duration,Distance,Speed,UpHill,DownHill
557,2018-04-25,From Engineering Corps Memorial to Hulda Forest,0.0,21.16,0.0,186,186
558,2018-04-24,יסודות  24.04.2018 15:49,1.05,19.65,18.8,127,129
559,2018-04-23,יסודות  23.04.2018 10:45,1.13,19.67,17.4,132,138
560,2018-04-18,Tour 18.12.2017 21:55 רכיבת שבילים לבנים קברות המכבים התחלה בליגד סנטר,1.0,15.45,15.4,197,194
561,2018-04-16,עליה למרר 16.04.2018 09:49,1.02,16.86,16.6,132,139
562,2018-04-14,Tour 14.04.2018 10:43,1.84,32.76,17.8,238,240
563,2018-04-13,Tour 13.04.2018 09:42,1.17,19.79,16.9,128,128
564,2018-04-11,Tour 11.04.2018 12:29,1.61,27.86,17.3,207,195
565,2018-04-09,מרר  09.04.2018,1.06,13.68,12.9,111,133
566,2018-04-02,Tour 02.04.2018 12:06,2.91,41.82,14.3,733,275
567,2018-03-31,Tour 31.03.2018 12:57,2.78,41.89,15.1,361,360
568,2018-03-24,Tour 24.03.2018 11:03,1.36,15.81,11.6,239,241
569,2018-03-22,Tour 22.03.2018 15:16,0.0,18.41,0.0,147,95
570,2018-03-20,Tour 20.03.2018 10:47,1.09,20.04,18.4,125,131
571,2018-03-17,Hulda Station,0.0,28.55,0.0,160,161
572,2018-03-14,Tour 14.03.2018 13:31,1.12,19.63,17.5,121,119
